state,Total TFIPSST,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Employment status this month (Total RMESR),269874,4255,454,6345,2594,26548,3631,2712,711,549,13942,8244,1040,1468,10275,9381,2782,1903,3034,4000,1304,6123,7725,6820,4573,2751,7522,765,1290,1638,1178,10701,1693,13557,7142,599,9496,3029,3103,10032,829,3424,548,7115,19261,1934,580,11783,8664,1760,8581,486
Not in Universe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"With a job entire month, worked all weeks.",144662,1834,228,3338,1339,13439,2123,1539,365,312,7038,4380,636,721,5927,5042,1713,1135,1568,2027,726,3523,4333,3466,2912,1307,4175,437,844,888,707,5958,805,7068,3785,423,5012,1503,1507,5128,405,1719,324,3246,10673,1170,379,6768,4913,765,4805,284
"With a job entire month, absent from work without pay 1+ weeks, absence not due to layoff",2789,26,15,66,39,243,31,27,4,4,71,64,17,15,163,112,63,24,23,31,14,104,128,78,52,27,69,9,13,9,37,54,22,127,73,9,80,42,42,102,7,16,5,52,198,32,13,101,139,16,79,2
With a job entire month absent from work without pay 1+ weeks absence due to layoff,2057,4,13,41,21,236,22,10,14,2,43,53,7,17,106,109,25,26,10,18,11,41,80,74,35,35,76,10,13,23,10,52,17,76,30,6,82,13,34,65,6,9,6,49,84,14,7,62,140,10,106,4
With a job at least 1 but not all weeks no time on layoff and no time looking for work,1214,11,4,37,16,105,13,20,3,1,56,26,7,7,51,45,16,14,16,23,7,26,33,29,36,17,42,5,6,7,4,34,9,46,34,1,37,19,14,54,3,5,4,21,95,15,6,46,43,4,34,7
"With a job at least 1 but not all weeks, remaining weeks on layoff or looking for work",1378,11,4,36,23,119,11,5,2,3,56,33,4,13,57,33,19,10,19,24,3,27,49,39,26,16,40,6,4,8,10,40,13,67,37,2,55,15,20,49,5,15,1,50,115,13,1,34,64,4,65,3
"No job all month, on layoff or looking for work all weeks.",12246,140,28,267,88,1827,138,113,31,38,827,391,25,78,449,337,104,47,105,167,69,246,326,400,153,102,260,26,35,112,50,555,95,534,263,9,454,84,199,376,59,154,10,415,861,44,17,353,385,31,354,15
"No job all month, at least one but not all weeks on layoff or looking for work",832,9,1,18,16,108,13,8,1,1,27,6,3,7,27,34,8,11,7,9,3,29,9,25,13,19,17,1,7,8,0,36,10,29,15,0,23,2,16,45,3,3,1,34,84,8,1,21,32,4,18,2
"No job all month, no time on layoff and no time looking for work.",104696,2220,161,2542,1052,10471,1280,990,291,188,5824,3291,341,610,3495,3669,834,636,1286,1701,471,2127,2767,2709,1346,1228,2843,271,368,583,360,3972,722,5610,2905,149,3753,1351,1271,4213,341,1503,197,3248,7151,638,156,4398,2948,926,3120,169
Person's total income this month (Total TPTOTINC),269874,4255,454,6345,2594,26548,3631,2712,711,549,13942,8244,1040,1468,10275,9381,2782,1903,3034,4000,1304,6123,7725,6820,4573,2751,7522,765,1290,1638,1178,10701,1693,13557,7142,599,9496,3029,3103,10032,829,3424,548,7115,19261,1934,580,11783,8664,1760,8581,486
Average TPTOTINC,2500.4,1737.6,2503.1,2540.7,1917.6,2468.6,2737.6,3445.6,2442.4,3013.3,2308.3,2263.5,2347.5,2144.3,2541.1,2251.5,2440,2484.3,2078.4,2094.4,1966.5,3309.3,2985.3,2445.1,3221.2,1825.6,2280.2,2467.7,2898.1,2573.7,3259.4,3101,2157.4,2711.2,2264.8,2687.3,2279.1,2038.2,2350.3,2546.5,2125.8,2498.7,2617,2039.7,2306,2952.9,2915.6,2998.6,2781,1804.9,2344.8,2293.3
Std Err TPTOTINC,6.75,30.67,182.74,47.74,40.33,22.43,56.03,97.45,95.69,149.91,27.62,37.38,71.07,75.59,32.93,26.41,54.2,69.64,38.5,45.07,54.33,54.99,47.55,45.9,61.3,47.91,34.44,125.49,102.07,86.23,126.75,42.44,69.46,36.27,37.47,123.52,30.28,43.87,53.62,36.33,103.55,71.03,174.88,34.71,24.79,102.51,127.65,36.45,38.7,43.25,29.34,89.8
Total household income this month (Total THEARN),269874,4255,454,6345,2594,26548,3631,2712,711,549,13942,8244,1040,1468,10275,9381,2782,1903,3034,4000,1304,6123,7725,6820,4573,2751,7522,765,1290,1638,1178,10701,1693,13557,7142,599,9496,3029,3103,10032,829,3424,548,7115,19261,1934,580,11783,8664,1760,8581,486
Average THEARN,4698.2,2711.5,5432,4730.5,3053.5,5012.1,4950.7,6566.3,3857.9,5433.9,3871.1,4110.4,5949.9,3414.9,5190.8,4038.1,4682.1,4110.1,3318.7,3678.7,2941.3,6625.3,6004.5,4302.4,5952.4,3336.1,4164.4,4270.1,5401.6,4961.4,6172.1,6514,3353.3,5330.8,3866.5,4492.7,3968.5,3348.2,4184.1,4710.1,4088.6,4018.2,6347.3,3489.3,4587.7,6649.6,5814.6,6067.4,4973.2,2545.2,4073.1,4019.9
Std Err THEARN,11.29,52.5,331.91,85.97,64.32,36.95,86.01,162.81,161.88,268.15,44.74,56.83,129.86,110.54,54.03,46.42,99.55,105.96,60.71,74.31,89.45,95.93,80.94,74.75,92.63,79.61,55.32,194.77,144.35,152.57,187.97,69.71,97.86,62.39,58.31,172.74,48.93,70.79,82.76,62.68,183.91,102.71,374.7,57.25,42.88,186.26,209.05,62.15,60.05,76.41,47.76,152.13
